г.Ильичевск,336
Любашевский р-н,6122
Белгород-Днестровский,6233
Березовский р-н,106
Раздельнянский р-н,107
Кодымский р-н,173
Красноокнянский р-н,231
Тарутинский р-н,231
Котовский р-н,265
Болградский р-н,282
Овидиопольский р-н,343
Великомихайловский р-н,376
Саратский р-н,389
Татарбунарский р-н,531
Фрунзенский р-н,537
Балтский район,582
Килийский р-н,630
г.Измаил,647
Ширяевский р-н,647
г. Котовск,659
Ренийский р-н,674
Савранский р-н,722
Арцизский р-н,748
Коминтерновский р-н,788
Ананьевский р-н,822
Измаильский р-н,946
Беляевский р-н,948
Белгород-Днестровский р-н,954
г.Одесса,986
