г.Макеевка,32
г.Краматорск,36
г.Харцызск,54
Торез,69
Ясиноватая,74
Селидово,126
Новоазовский р-н,155
Шахтерский р-н,161
Славянский р-н,200
Тельмановский р-н,226
г.Мариуполь,271
Артемовский р-н,309
г.Донецк,384
г.Горловка,393
г.Снежное,415
Старобешевский р-н,496
г.Красноармейск,500
Амвросиевский р-н,566
Докучаевск,601
Красноармейский р-н,663
Авдеевка,705
м.Слав Купянск,729
Краснолиманский р-н,758
Великоновоселковский р-н,762
Добропольский р-н,775
г.Шахтерск,779
м.Енакииве,831
Первомайский р-н,843
Волновахский р-н,870
Марьинский р-н,872
Ясиноватский р-н,942
Константиновский р-н,975
г.Красный Лиман,978
