Близнюковский р-н,646
Великобурлукский р-н,886
Чугуевский р-н,166
Дергачевский р-н,212
Изюм,217
Богодуховский р-н,365
г.Лозовая,396
Змиевской р-н,469
Лозовской р-н,490
Первомайский,510
Чугуев,537
Балаклейский р-н,602
Барвенковский р-н,612
Красноградский р-н,612
Коломакский р-н,623
Двуречанский р-н,652
Золочевский р-н,655
Боровский р-н,664
Зачепиловский р-н,699
Люботин,711
Краснокутский р-н,713
Сахновщинский р-н,745
Нововодолажский р-н,768
Печенежский р-н,782
Волчанский р-н,829
Купянский р-н,833
Харьковский р-н,842
г.Купянск,858
Изюмский р-н,888
Кегичевский р-н,895
г.Харьков,897
Валковский р-н,992
