Калиновский р-н,41172
Теплицкий р-н,15232
Жмеринский р-н,2234
Тростянецкий р-н,1248
Оратовский р-н,5272
Томашпольский р-н,3277
Барский р-н,7281
Козятинский р-н,4418
Винницкий р-н,32425
Чечельницкий р-н,3449
Черновицкий р-н,5454
Жмеринка,12462
Погребищенский р-н,34502
г.Винница,4577
Гайсинский р-н,34601
Тульчинский р-н,4613
Тывровский р-н,2615
Шаргородский р-н,1646
Ильинецкий р-н,2694
Крыжопольский р-н,3740
г.Могилев-Подольский,4780
Литинский р-н,1802
Ямпольский р-н,1815
Мурованокуриловецкий р-н,2825
Немировский р-н,3877
Могилев-Подольский р-н,2882
Хмельницкий р-н,1882
Липовецкий р-н,2959
Бершадский р-н,3972
