Яготинский р-н,6324
Тутаевский р-н,7332
Згуровский р-н,1430
Белоцерковский р-н,1468
Обухов,1849
Переяслав-Хмельницкий р-н,1929
Полесский р-н,2308
Иванковский р-н,2310
Броварской р-н,2833
Богуславский р-н,3032
Сквирский р-н,3415
Володарский р-н,3337
Белая церковь,3262
Бородянский р-н,5411
Ставищенский р-н,5217
Макаровский р-н,5249
Таращанский р-н,5260
г.Васильков,5361
Фастов,6314
Мироновский р-н,6445
г.Бровары,6357
Обуховский р-н,6385
Киево-Святошинский р-н,6496
Кагарлицкий р-н,7206
Рокитнянский р-н,7212
Барышевский р-н,7454
Бориспольский р-н,7363
г.Борисполь,8253
Васильковский р-н,8288
Вышгородский р-н,2894
Фастовский р-н,4918
Ржищев,9438
г.Березань,9251
Переяслав-Хмельницкий,9266
