г.Свердловск,50
г.Антрацит,81
г.Рубежное,107
Сватовский р-н,109
Меловский р-н,143
г.Стаханов,203
Беловодский р-н,209
Троицкий р-н,252
Станично-Луганский р-н,337
г.Ровеньки,340
Марковский р-н,360
Алчевск,404
Краснодонский р-н,479
Старобельский р-н,487
г.Северодонецк,509
Белокуракинский р-н,544
Славяносербский р-н,581
Антрацитовский р-н,622
Лутугинский р-н,713
г.Луганск,775
г.Первомайск,776
Новопсковский р-н,789
Кременской р-н,825
Попаснянский р-н,829
Свердловский р-н,915
Перевальский р-н,979
Новоайдарский р-н,990
