Попельнянский р-н,2328
Бердичевский р-н,6238
Коростышевский р-н,3140
Олевский р-н,2398
Володарск-Волынский р-н,3213
Брусиловский р-н,3322
Любарский р-н,3240
Житомирский р-н,3354
Красноармейский р-н,3267
Малинский р-н,4200
г.Житомир,4254
Ружинский р-н,4269
Чудновский р-н,5286
Новоград-Волынский р-н,6220
Коростенский р-н,6353
Барановский р-н,7328
Овруцкий р-н,7251
Народицкий р-н,2853
Лугинский р-н,4862
Черняховский р-н,4873
Радомышльский р-н,2884
Дзержинский р-н,1885
Андрушевский р-н,2905
Емильчинский р-н,9133
