Попельнянский р-н,28
Бердичевский р-н,68
Коростышевский р-н,140
Олевский р-н,298
Володарск-Волынский р-н,313
Брусиловский р-н,322
Любарский р-н,340
Житомирский р-н,354
Красноармейский р-н,367
Малинский р-н,400
г.Житомир,454
Ружинский р-н,469
Чудновский р-н,586
Новоград-Волынский р-н,620
Коростенский р-н,653
Барановский р-н,728
Овруцкий р-н,751
Народицкий р-н,853
Лугинский р-н,862
Черняховский р-н,873
Радомышльский р-н,884
Дзержинский р-н,885
Андрушевский р-н,905
Емильчинский р-н,933
