Яготинский р-н,64
Тутаевский р-н,72
Згуровский р-н,130
Белоцерковский р-н,168
Обухов,189
Переяслав-Хмельницкий р-н,199
Полесский р-н,208
Иванковский р-н,210
Броварской р-н,283
Богуславский р-н,302
Сквирский р-н,315
Володарский р-н,337
Белая церковь,362
Бородянский р-н,511
Ставищенский р-н,517
Макаровский р-н,529
Таращанский р-н,560
г.Васильков,561
Фастов,614
Мироновский р-н,645
г.Бровары,657
Обуховский р-н,685
Киево-Святошинский р-н,696
Кагарлицкий р-н,706
Рокитнянский р-н,712
Барышевский р-н,754
Бориспольский р-н,763
г.Борисполь,853
Васильковский р-н,888
Вышгородский р-н,894
Фастовский р-н,918
Ржищев,938
г.Березань,951
Переяслав-Хмельницкий,966
