Ивано-Франковская,Кольский р-н,288, мужчины р-н,288
Винницкая,Калиновский р-н,172, мужчины р-н,288
Волынская,г.Луцк,124, мужчины р-н,288
Днепропетровская,г.Першотравенск,140, мужчины р-н,288
Донецкая,Торез,69, мужчины р-н,288
Житомирская,Попельнянский р-н,28, мужчины р-н,288
Закарпатская,Мукачево,167, мужчины р-н,288
Кировоградская,Гайворонский р-н,72, мужчины р-н,288
Киевская,Яготинский р-н,64, мужчины р-н,288
Крым АР,Сакский р-н,87, мужчины р-н,288
Луганская,г.Свердловск,50, мужчины р-н,288
Львовская,Каменка-Бугский р-н,63, мужчины р-н,288
Киев,Шевченковский р-н,190, мужчины р-н,288
Севастополь,Нахимовский р-н,19, мужчины р-н,288
Николаевская,Баштанский р-н,987, мужчины р-н,288
Одесская,г.Одесса,986, мужчины р-н,288
Полтавская,Лубенский р-н,963, мужчины р-н,288
Ровенская,Заречненский р-н,935, мужчины р-н,288
Сумская,г.Лебедин,953, мужчины р-н,288
Тернопольская,Бережанский р-н,985, мужчины р-н,288
Харьковская,Валковский р-н,992, мужчины р-н,288
Херсонская,Чаплинский р-н,769, мужчины р-н,288
Хмельницкая,Волочисский р-н,185, мужчины р-н,288
Черкасская,Чернобаевский р-н,52, мужчины р-н,288
Черновецкая,Новоселицкий р-н,24, мужчины р-н,288
Черниговская,Корюковский р-н,424, мужчины р-н,288
